"wu_name","node_name","start_blast","end_blast","start_blast_epoch","end_blast_epoch","ID","sent","received","diff_sent","diff_rec","diff_blast","diff_all","diff_server_client"
"blast500k_test_pub_fileFULL_gr_107","IS24T-06XX260-DT","Tue 11/17/2015-17:44:15.01","Tue 11/17/2015-17:57:02.00",1447757055,1447757822,18394,1447757011,1447757834,44,12,767,823,56
"blast500k_test_pub_fileFULL_gr_1070","IS24T-06XX254-DT","Tue 11/17/2015-21:01:37.86","Tue 11/17/2015-21:32:32.62",1447768897,1447770752,19357,1447768880,1447770768,17,16,1855,1888,33
"blast500k_test_pub_fileFULL_gr_1071","IS24T-06XX287-DT","Tue 11/17/2015-20:35:46.55","Tue 11/17/2015-20:44:11.08",1447767346,1447767851,19358,1447767351,1447767884,-5,33,505,533,28
"blast500k_test_pub_fileFULL_gr_1072","IS24T-06XX295-DT","Tue 11/17/2015-20:17:32.43","Tue 11/17/2015-20:31:12.96",1447766252,1447767072,19359,1447766271,1447767130,-19,58,820,859,39
"blast500k_test_pub_fileFULL_gr_1073","IS24T-06XX252-DT","Tue 11/17/2015-20:31:29.51","Tue 11/17/2015-20:49:57.08",1447767089,1447768197,19360,1447767065,1447768216,24,19,1108,1151,43
"blast500k_test_pub_fileFULL_gr_1074","IS24T-06XX295-DT","Tue 11/17/2015-20:58:59.91","Tue 11/17/2015-21:14:13.05",1447768739,1447769653,19361,1447768760,1447769713,-21,60,914,953,39
"blast500k_test_pub_fileFULL_gr_1075","IS24T-06XX259-DT","Tue 11/17/2015-20:19:44.19","Tue 11/17/2015-20:43:51.39",1447766384,1447767831,19362,1447766361,1447767848,23,17,1447,1487,40
"blast500k_test_pub_fileFULL_gr_1076","IS24T-06XX269-DT","Tue 11/17/2015-20:55:09.27","Tue 11/17/2015-21:08:34.66",1447768509,1447769314,19363,1447768499,1447769344,10,30,805,845,40
"blast500k_test_pub_fileFULL_gr_1077","IS24T-06XX285-DT","Tue 11/17/2015-20:24:01.04","Tue 11/17/2015-20:41:40.15",1447766641,1447767700,19364,1447766628,1447767728,13,28,1059,1100,41
"blast500k_test_pub_fileFULL_gr_1078","IS24T-06XX254-DT","Tue 11/17/2015-20:18:48.78","Tue 11/17/2015-20:35:22.88",1447766328,1447767322,19365,1447766299,1447767340,29,18,994,1041,47
"blast500k_test_pub_fileFULL_gr_1079","IS24T-06XX257-DT","Tue 11/17/2015-20:20:47.61","Tue 11/17/2015-20:32:21.97",1447766447,1447767141,19366,1447766423,1447767158,24,17,694,735,41
"blast500k_test_pub_fileFULL_gr_108","IS24T-06XX275-DT","Tue 11/17/2015-18:29:55.44","Tue 11/17/2015-18:45:00.44",1447759795,1447760700,18395,1447759783,1447760729,12,29,905,946,41
"blast500k_test_pub_fileFULL_gr_1080","IS24T-06XX287-DT","Tue 11/17/2015-20:34:29.70","Tue 11/17/2015-20:48:03.37",1447767269,1447768083,19367,1447767266,1447768114,3,31,814,848,34
"blast500k_test_pub_fileFULL_gr_1081","IS24T-06XX273-DT","Tue 11/17/2015-20:20:49.68","Tue 11/17/2015-20:32:39.34",1447766449,1447767159,19368,1447766430,1447767174,19,15,710,744,34
"blast500k_test_pub_fileFULL_gr_1082","IS24T-06XX293-DT","Tue 11/17/2015-20:42:01.28","Tue 11/17/2015-20:59:22.89",1447767721,1447768762,19369,1447767715,1447768798,6,36,1041,1083,42
